Начало строительства Панамского канала;Start of Panama Canal Construction;01.01.1881;событие;event
Начало Английской гражданской войны;Start of the English Civil War;22.08.1642;событие;event
Подписание Акта о навигации;Signing of the Navigation Acts;09.10.1651;событие;event
Основание Плимутской колонии;Founding of Plymouth Colony;21.12.1620;событие;event
Начало войны за австрийское наследство;Start of the War of Austrian Succession;16.12.1740;событие;event
Открытие реки Амазонка;Discovery of the Amazon River;26.08.1542;событие;event
Начало Революции Мэйдзи в Японии;Start of the Meiji Restoration in Japan;03.01.1868;событие;event
Начало Крымской войны;Start of the Crimean War;04.10.1853;событие;event
Начало Гаитянской революции;Start of the Haitian Revolution;22.08.1791;событие;event
Начало восстания Тайпинов;Start of the Taiping Rebellion;01.01.1851;событие;event
Начало второй опиумной войны;Start of the Second Opium War;08.10.1856;событие;event
Падение династии Мин;Fall of the Ming Dynasty;25.04.1644;событие;event
Основание первой британской колонии в Австралии;Founding of the First British Colony in Australia;18.01.1788;событие;event
Начало Войны трёх королевств;Start of the War of the Three Kingdoms;23.10.1641;событие;event
Начало второй англо-бурской войны;Start of the Second Boer War;11.10.1899;событие;event
Начало восстания Спартака;Start of the Spartacus Rebellion;21.12.1919;событие;event
Открытие Мачу-Пикчу;Discovery of Machu Picchu;24.07.1911;событие;event
Основание Джеймстауна;Founding of Jamestown;14.05.1607;событие;event
Начало войны за баварское наследство;Start of the War of Bavarian Succession;03.07.1778;событие;event
Начало войны за независимость Греции;Start of the Greek War of Independence;25.03.1821;событие;event
Начало франко-прусской войны;Start of the Franco-Prussian War;19.07.1870;событие;event
Начало восстания сипаев;Start of the Indian Rebellion of 1857;10.05.1857;событие;event
Начало восстания боксёров;Start of the Boxer Rebellion;02.11.1899;событие;event
Начало первой опиумной войны;Start of the First Opium War;18.03.1839;событие;event
Образование Германской империи;Formation of the German Empire;18.01.1871;событие;event
Начало войны за испанское наследство;Start of the War of Spanish Succession;09.07.1701;событие;event
Битва при Геттисберге;Battle of Gettysburg;01.07.1863;событие;event
Основание колонии Роанок;Founding of the Roanoke Colony;22.07.1587;событие;event
Начало религиозных войн во Франции;Start of the French Wars of Religion;01.03.1562;событие;event
Начало первой англо-голландской войны;Start of the First Anglo-Dutch War;10.07.1652;событие;event
Начало великой северной войны;Start of the Great Northern War;22.02.1700;событие;event
Образование Великобритании;Formation of Great Britain;01.05.1707;событие;event
Начало осады Мальты;Start of the Siege of Malta;18.05.1565;событие;event
Взятие крепости Бастилии;Storming of the Bastille;14.07.1789;событие;event
Открытие Новой Голландии;Discovery of New Holland;26.01.1788;событие;event
Основание города Сидней;Founding of Sydney;26.01.1788;событие;event
Образование Соединённых Штатов Америки;Formation of the United States of America;04.07.1776;событие;event
Первая англо-афганская война;First Anglo-Afghan War;01.10.1839;событие;event
Открытие континента Австралии;Discovery of the Continent of Australia;29.04.1770;событие;event
Основание города Сан-Франциско;Founding of San Francisco;29.06.1776;событие;event
Основание города Нью-Йорк;Founding of New York City;27.08.1664;событие;event
Атомная бомбардировка Нагасаки;Atomic Bombing of Nagasaki;09.08.1945;событие;event
Открытие острова Пасхи;Discovery of Easter Island;05.04.1722;событие;event
Открытие Гавайских островов;Discovery of the Hawaiian Islands;18.01.1778;событие;event
Основание Питера;Founding of St. Petersburg;27.05.1703;событие;event
Начало восстания на крейсере «Потёмкин»;Start of the Potemkin Mutiny;27.06.1905;событие;event
Открытие Новой Шотландии;Discovery of Nova Scotia;11.08.1604;событие;event
Начало экспедиции Фрэнсиса Дрейка;Start of Francis Drake's Expedition;15.12.1577;событие;event
Открытие острова Тасмания;Discovery of Tasmania;24.11.1642;событие;event
Основание Плимута;Founding of Plymouth;21.12.1620;событие;event
Начало Великой северной войны;Start of the Great Northern War;22.02.1700;событие;event
Основание города Новая Амстердам;Founding of New Amsterdam;27.05.1626;событие;event
Начало франко-индейской войны;Start of the French and Indian War;28.05.1754;событие;event
Начало гражданской войны в Англии;Start of the English Civil War;22.08.1642;событие;event
Начало третьей опиумной войны;Start of the Third Opium War;13.01.1857;событие;event
Открытие Северного полюса;Discovery of the North Pole;06.04.1909;событие;event
Основание колонии Массачусетс;Founding of the Massachusetts Colony;09.06.1628;событие;event
Начало второй англо-голландской войны;Start of the Second Anglo-Dutch War;04.03.1665;событие;event
Начало Революции в Нидерландах;Start of the Dutch Revolution;10.08.1566;событие;event
Подписание Акта о навигации;Signing of the Navigation Act;09.10.1651;событие;event
Начало Французской революции;Start of the French Revolution;14.07.1789;событие;event
Подписание Акта о союзе;Signing of the Act of Union;01.01.1707;событие;event
Начало Великой депрессии;Start of the Great Depression;29.10.1929;событие;event
Начало освоения Сибири;Start of the Siberian Conquest;23.06.1581;событие;event
Начало колонизации Северной Америки;Start of the Colonization of North America;14.05.1607;событие;event
Открытие Южного континента;Discovery of the Southern Continent;24.08.1559;событие;event
Начало первой англо-афганской войны;Start of the First Anglo-Afghan War;01.10.1839;событие;event
Начало колонизации Австралии;Start of the Colonization of Australia;18.01.1788;событие;event
Изобретение парового двигателя Джеймсом Уаттом;Invention of the Steam Engine by James Watt;05.01.1776;событие;event
Открытие острова Маврикий;Discovery of Mauritius;02.09.1598;событие;event
Принятие Хартии прав человека;Adoption of the Charter of Human Rights;10.12.1948;событие;event
Запуск первого спутника;Launch of the First Satellite;04.10.1957;событие;event
Подписание акта о Навигации;Signing of the Navigation Act;09.10.1651;событие;event
"Публикация ""Происхождения видов"" Дарвина";" Publication of ""On the Origin of Species"" by Darwin";24.11.1859;событие;event
Первая передача радиосигнала;First Radio Transmission;24.12.1906;событие;event
Принятие Закона о правах;Passage of the Bill of Rights;15.12.1791;событие;event
Провозглашение Соединённых Штатов Америки;Proclamation of the United States of America;04.07.1776;событие;event
Сражение при Геттисберге;Battle of Gettysburg;01.07.1863;событие;event
Изобретение электромагнитной индукции;Invention of Electromagnetic Induction;29.08.1831;событие;event
Запуск первого коммерческого компьютера;Launch of the First Commercial Computer;01.06.1951;событие;event
Первое использование атомной энергии;First Use of Atomic Energy;16.07.1945;событие;event
Первая публикация «Власть труда» Карла Маркса;" First Publication of ""The Power of Labor"" by Karl Marx";28.09.1848;событие;event
Публикация «Капитал» Карла Маркса;" Publication of ""Das Kapital"" by Karl Marx";14.09.1867;событие;event
Битва при Дюнкерке;Battle of Dunkirk;26.05.1940;событие;event
Принятие Конституции США;Adoption of the U.S. Constitution;17.09.1787;событие;event
Изобретение телефона Александром Грэмом Беллом;Invention of the Telephone by Alexander Graham Bell;14.03.1876;событие;event
Изобретение парашюта;Invention of the Parachute;26.12.1783;событие;event
Первая публикация «Капитал» Карла Маркса;" First Publication of ""Das Kapital"" by Karl Marx";14.09.1867;событие;event
Первое использование электромагнитной индукции;First Use of Electromagnetic Induction;29.08.1831;событие;event
Битва при Плевне;Battle of Plevna;30.08.1877;событие;event
Открытие Луны;Discovery of the Moon;30.07.1609;событие;event
Первое использование парового двигателя;First Use of the Steam Engine;05.01.1776;событие;event
Изобретение электрической лампочки;Invention of the Light Bulb;04.09.1879;событие;event
Первая публикация «Происхождения видов» Дарвина;" First Publication of ""On the Origin of Species"" by Darwin";24.11.1859;событие;event
Принятие Декларации независимости США;Adoption of the Declaration of Independence;04.07.1776;событие;event
Открытие новой планеты;Discovery of a New Planet;01.01.1781;событие;event
Изобретение радио;Invention of the Radio;12.12.1901;событие;event
Изобретение парового двигателя;Invention of the Steam Engine;05.01.1776;событие;event
Открытие Австралии;Discovery of Australia;29.04.1770;событие;event
Битва при Суворове;Battle of Suvorov;03.09.1799;событие;event
Открытие Острова Пасхи;Discovery of Easter Island;05.04.1722;событие;event
Подписание Акта о Навигации;Signing of the Navigation Act;09.10.1651;событие;event
Открытие островов Тихого океана;Discovery of the Pacific Islands;12.12.1700;событие;event
"Первая публикация ""Происхождения видов"" Дарвина";" First Publication of ""On the Origin of Species"" by Darwin";24.11.1859;событие;event
"Первая публикация ""Капитал"" Карла Маркса";" First Publication of ""Das Kapital"" by Karl Marx";14.09.1867;событие;event
Подписание Декларации прав человека;Signing of the Declaration of Human Rights;10.12.1948;событие;event
"Публикация ""Капитал"" Карла Маркса";" Publication of ""Das Kapital"" by Karl Marx";14.09.1867;событие;event
Открытие Маврикия;Discovery of Mauritius;02.09.1598;событие;event
Открытие планет Урана;Discovery of Uranus;13.03.1781;событие;event
Изобретение телефонного аппарата;Invention of the Telephone Apparatus;14.03.1876;событие;event
Запуск первого космического спутника;Launch of the First Space Satellite;04.10.1957;событие;event
Смерть Наполеона Бонапарта;Death of Napoleon Bonaparte;05.05.1821;событие;event
Первое использование электрического тока;First Use of Electric Current;25.12.1800;событие;event
"Первая публикация ""Власть труда"" Карла Маркса";" First Publication of ""The Power of Labor"" by Karl Marx";28.09.1848;событие;event
Битва при Бородино;Battle of Borodino;05.09.1812;событие;event
Подписание Декларации прав человека и гражданина;Signing of the Declaration of the Rights of Man and of the Citizen;26.08.1789;событие;event
Первая эксплуатация поезда;First Operation of a Train;27.09.1825;событие;event
Принятие Конституции Франции;Adoption of the French Constitution;03.09.1791;событие;event
Публикация «Происхождения видов» Дарвина;" Publication of ""On the Origin of Species"" by Darwin";24.11.1859;событие;event
Запуск первого атомного подводного лодки;Launch of the First Nuclear Submarine;21.12.1954;событие;event
Основание Новой Англии;Founding of New England;16.09.1620;событие;event
Публикация «О духе законов» Монтескье;" Publication of ""The Spirit of the Laws"" by Montesquieu";01.01.1748;событие;event
Публикация «О происхождении видов» Дарвина;" Publication of ""On the Origin of Species"" by Darwin";24.11.1859;событие;event
Подписание Хартии прав человека;Signing of the Charter of Human Rights;10.12.1948;событие;event
Сражение при Садовом;Battle of the White Mountain;08.11.1620;событие;event
Первая эксплуатация парового локомотива;First Operation of a Steam Locomotive;27.09.1825;событие;event
Изобретение рентгеновских лучей;Invention of X-Rays;08.11.1895;событие;event
Подписание Декларации независимости США;Signing of the Declaration of Independence;04.07.1776;событие;event
"Публикация ""О духе законов"" Монтескье";" Publication of ""The Spirit of the Laws"" by Montesquieu";01.01.1748;событие;event
Изобретение телефона;Invention of the Telephone;14.03.1876;событие;event
Сражение при Гаване;Battle of Havana;14.08.1762;событие;event
"Публикация ""Происхождение видов"" Дарвина";" Publication of ""On the Origin of Species"" by Darwin";24.11.1859;событие;event
Первое использование радиоволн;First Use of Radio Waves;24.12.1906;событие;event
Публикация «Происхождение видов» Дарвина;" Publication of ""On the Origin of Species"" by Darwin";24.11.1859;событие;event
"Первая публикация ""Новой Атлантиды"" Фрэнсиса Бэкона";" First Publication of ""New Atlantis"" by Francis Bacon";01.01.1627;событие;event
"Публикация ""Опыт о человеке"" Декарта";" Publication of ""Discourse on the Method"" by Descartes";01.01.1637;событие;event
Первая экспедиция к Южному полюсу;First Expedition to the South Pole;14.12.1911;событие;event
"Публикация ""Принципы математики"" Ньютона";" Publication of ""Mathematical Principles"" by Newton";05.07.1687;событие;event
Первое наблюдение солнцепёков;First Observation of Solar Flares;01.01.1859;событие;event
Начало первой мировой войны;Start of World War I;28.07.1914;событие;event
"Первая публикация ""Словаря"" Ларошфуко";" First Publication of ""The Dictionary"" by La Rochefoucauld";01.01.1665;событие;event
"Публикация ""Размышления"" Паскаля";" Publication of ""Pens?es"" by Pascal";01.01.1670;событие;event
"Первая публикация ""Опыт о человеке"" Декарта";" First Publication of ""Discourse on the Method"" by Descartes";01.01.1637;событие;event
Изобретение первой пишущей машинки;Invention of the First Typewriter;01.01.1868;событие;event
"Публикация ""Чтение о натуралистах"" Линнея";" Publication of ""Systema Naturae"" by Linnaeus";01.01.1735;событие;event
Сражение при Дюнкерке;Battle of Dunkirk;26.05.1940;событие;event
"Публикация ""Рассуждения о методе"" Декарта";" Publication of ""Discourse on the Method"" by Descartes";01.01.1637;событие;event
Битва при Лейпциге;Battle of Leipzig;16.10.1813;событие;event
Основание Исландии;Founding of Iceland;01.01.1543;событие;event
"Публикация ""О вращении небесных сфер"" Коперника";" Publication of ""On the Revolutions of the Celestial Spheres"" by Copernicus";05.05.1543;событие;event
Начало Пятидесятилетней войны;Start of the Eighty Years' War;01.07.1568;событие;event
"Публикация ""Генерации"" Гассенди";" Publication of ""Syntagma Philosophicum"" by Gassendi";01.01.1658;событие;event
Открытие Японских островов;Discovery of Japan;01.01.1597;событие;event
Смерть Людовика XIV;Death of Louis XIV;01.09.1715;событие;event
"Публикация ""Генерация"" Гассенди";" Publication of ""Syntagma Philosophicum"" by Gassendi";01.01.1658;событие;event
Смерть Исаака Ньютона;Death of Isaac Newton;20.03.1727;событие;event
Подписание Парижского договора;Signing of the Treaty of Paris;03.09.1783;событие;event
Начало Революции 1848 года;Start of the 1848 Revolution;22.02.1848;событие;event
Основание Сан-Франциско;Founding of San Francisco;29.06.1776;событие;event
"Публикация ""Власть труда"" Карла Маркса";" Publication of ""The Power of Labor"" by Karl Marx";28.09.1848;событие;event
"Публикация ""Словарь"" Ларошфуко";" Publication of ""The Dictionary"" by La Rochefoucauld";01.01.1665;событие;event
Сражение при Ватерлоо;Battle of Waterloo;18.06.1815;событие;event
Сражение при Трафальгаре;Battle of Trafalgar;21.10.1805;событие;event
Начало Великой Революции в Китае;Beginning of the Great Chinese Revolution;01.01.1911;событие;event
Открытие Великого канала;Opening of the Grand Canal;01.01.1644;событие;event
"Публикация ""Рассуждение о методе"" Декарта";" Publication of ""Discourse on the Method"" by Descartes";01.01.1637;событие;event
Начало Промышленной революции в Англии;Start of the Industrial Revolution in England;01.01.1760;событие;event
Открытие первого университета в Америке;Establishment of the First American University;01.01.1636;событие;event
Изобретение первой машины для письма;Invention of the First Typewriter;01.01.1867;событие;event
"Публикация ""О происхождении видов"" Дарвина";" Publication of ""On the Origin of Species"" by Darwin";24.11.1859;событие;event
Первая эксплуатация поезда на железной дороге;First Operation of a Train on a Railway;27.09.1825;событие;event
Изобретение первого парового двигателя;Invention of the First Steam Engine;01.01.1776;событие;event
Запуск первой паровой лодки;Launch of the First Steamship;01.01.1807;событие;event
Сражение при Седане;Battle of Sedan;01.09.1870;событие;event
"Публикация ""Новая Атлантида"" Бэкона";" Publication of ""New Atlantis"" by Bacon";01.01.1627;событие;event
Открытие Французской Полинезии;Discovery of French Polynesia;04.08.1767;событие;event
Подписание мирного договора в Версале;Signing of the Treaty of Versailles;28.06.1919;событие;event
Первая документированная экспедиция к Южному полюсу;First Documented Expedition to the South Pole;14.12.1911;событие;event
Смерть Рене Декарта;Death of Ren? Descartes;11.02.1650;событие;event
Первая атомная электростанция в СССР;First Nuclear Power Plant in the USSR;27.06.1954;событие;event
Изобретение электрического телеграфа;Invention of the Electric Telegraph;01.01.1837;событие;event
"Публикация ""Теория относительности"" Эйнштейна";" Publication of Einstein's ""Theory of Relativity""";30.11.1915;событие;event
Первая успешная операция по пересадке сердца;First Successful Heart Transplant;03.12.1967;событие;event
"Публикация ""Миф о Сизифе"" Камю";" Publication of ""The Myth of Sisyphus"" by Camus";01.01.1942;событие;event
Первая успешная почтовая связь через Атлантику;First Successful Transatlantic Mail Service;01.01.1866;событие;event
Запуск первой американской ракеты;Launch of the First American Rocket;20.10.1944;событие;event
Начало работы ООН;Establishment of the United Nations;24.10.1945;событие;event
Первая медицинская операция на открытом сердце;First Open-Heart Surgery;03.11.1952;событие;event
Начало работы первой коммерческой атомной электростанции;Start of Operation of the First Commercial Nuclear Power Plant;26.08.1954;событие;event
"Публикация ""Манифест коммунистической партии"" Маркса и Энгельса";" Publication of ""The Communist Manifesto"" by Marx and Engels";21.02.1848;событие;event
Первая эксплуатация электрического трамвая;First Operation of an Electric Tram;01.01.1881;событие;event
"Публикация ""Английская грамматика"" Брауна";" Publication of ""English Grammar"" by Brown";01.01.1761;событие;event
Ввод в эксплуатацию первого атомного ледокола;Commissioning of the First Nuclear Icebreaker;03.08.1959;событие;event
"Публикация ""Записки по натурфилософии"" Фихте";" Publication of ""Notes on Natural Philosophy"" by Fichte";01.01.1794;событие;event
"Публикация ""Сложные числа"" Картана";" Publication of ""Complex Numbers"" by Cartan";01.01.1925;событие;event
Запуск первой искусственной спутниковой связи;Launch of the First Artificial Satellite Communication;01.07.1963;событие;event
"Публикация ""По ту сторону добра и зла"" Ницше";" Publication of ""Beyond Good and Evil"" by Nietzsche";01.01.1886;событие;event
"Публикация ""Наука о логике"" Гегеля";" Publication of ""Science of Logic"" by Hegel";01.01.1812;событие;event
Первый полет в космос человека;First Human in Space;12.04.1961;событие;event
Первый публичный демонстрационный полет на самолете;First Public Demonstration Flight of an Airplane;17.12.1903;событие;event
Изобретение первой современной батареи;Invention of the First Modern Battery;01.01.1800;событие;event
Создание первой компьютерной программы;Creation of the First Computer Program;01.01.1843;событие;event
"Публикация ""Обыкновенная философия"" Мюллера";" Publication of ""Ordinary Philosophy"" by M?ller";01.01.1833;событие;event
Создание первого искусственного языка;Creation of the First Artificial Language;01.01.1887;событие;event
Запуск первой космической станции;Launch of the First Space Station;19.04.1971;событие;event
Первая успешная операция по пересадке почки;First Successful Kidney Transplant;23.12.1954;событие;event
Первая полномасштабная демонстрация электрического освещения;First Full-Scale Demonstration of Electric Lighting;01.01.1879;событие;event
Первая успешная почтовая связь между Европой и Америкой;First Successful Mail Service Between Europe and America;01.01.1866;событие;event
Начало эксплуатации первой железной дороги;Start of Operation of the First Railway;27.09.1825;событие;event
Первая успешная операция по пересадке легкого;First Successful Lung Transplant;05.06.1963;событие;event
Изобретение первого термоядерного реактора;Invention of the First Thermonuclear Reactor;01.01.1954;событие;event
"Публикация ""Огюстен де Сент-Экзюпери"" де Сент-Экзюпери";" Publication of ""Night Flight"" by Saint-Exup?ry";01.01.1931;событие;event
"Публикация ""Биография Франклина"" Пауэлла";" Publication of ""Franklin Biography"" by Powell";01.01.1904;событие;event
Первая успешная работа лазерного устройства;First Successful Operation of a Laser Device;01.01.1960;событие;event
Первая эксплуатация транспортного поезда;First Operation of a Freight Train;01.01.1825;событие;event
Изобретение первого телевизора;Invention of the First Television;01.01.1927;событие;event
Запуск первого космического зонда к Марсу;Launch of the First Mars Probe;05.11.1964;событие;event
Первый полет на реактивном самолете;First Jet Plane Flight;01.01.1939;событие;event
Первая успешная операция по пересадке печени;First Successful Liver Transplant;23.03.1967;событие;event
"Публикация ""Исследования о природе"" Коперника";" Publication of ""On the Revolutions of the Heavenly Spheres"" by Copernicus";01.01.1543;событие;event
Первая успешная операция по трансплантации органов;First Successful Organ Transplant Surgery;01.01.1954;событие;event
Запуск первой линии метро;Launch of the First Subway Line;10.01.1863;событие;event
Изобретение первого электродвигателя;Invention of the First Electric Motor;01.01.1832;событие;event
Открытие и исследование острова Рождества;Discovery and Exploration of Christmas Island;01.01.1643;событие;event
Создание первой модельной формулы в химии;Creation of the First Chemical Formula Model;01.01.1865;событие;event
Изобретение первого современного рентгеновского аппарата;Invention of the First Modern X-Ray Machine;01.01.1896;событие;event
Первая публичная демонстрация электрической лампы;First Public Demonstration of the Electric Lamp;31.12.1879;событие;event
Открытие острова Кука;Discovery of the Cook Islands;15.08.1773;событие;event
"Публикация ""Система логики"" Милля";" Publication of ""A System of Logic"" by Mill";01.01.1843;событие;event
Создание первой гипотезы о черных дырах;Creation of the First Black Hole Hypothesis;01.01.1783;событие;event
Первая успешная операция по пересадке кожи;First Successful Skin Transplant;15.09.1950;событие;event
Запуск первого атомного реактора;Launch of the First Nuclear Reactor;01.12.1942;событие;event
Первая успешная трансплантация почек;First Successful Kidney Transplant;23.12.1954;событие;event
"Публикация ""История искусств"" Винкельмана";" Publication of ""History of Art"" by Winkelmann";01.01.1764;событие;event
Изобретение первой модели радиопередатчика;Invention of the First Radio Transmitter Model;01.01.1895;событие;event
Первая успешная операция по пересадке органов;First Successful Organ Transplant Surgery;01.01.1954;событие;event
Изобретение первого атомного оружия;Invention of the First Atomic Weapon;16.07.1945;событие;event
Запуск первой спутниковой системы связи;Launch of the First Satellite Communication System;01.07.1963;событие;event
"Публикация ""Опыты"" Монтеня";" Publication of ""Essays"" by Montaigne";01.01.1580;событие;event
Открытие Южного полюса;Discovery of the South Pole;14.12.1911;событие;event
Создание первой модели телевизора;Creation of the First Television Model;01.01.1927;событие;event
Изобретение первого современного фотоаппарата;Invention of the First Modern Camera;01.01.1839;событие;event
Первая публичная демонстрация радиопередачи;First Public Demonstration of Radio Transmission;01.01.1901;событие;event
Изобретение первого современных автомобилей;Invention of the First Modern Automobile;01.01.1886;событие;event
"Публикация ""О революциях небесных сфер"" Коперника";" Publication of ""On the Revolutions of the Heavenly Spheres"" by Copernicus";01.01.1543;событие;event
Первая успешная трансплантация органов;First Successful Organ Transplant;01.01.1954;событие;event
"Публикация ""Этика"" Спинозы";" Publication of ""Ethics"" by Spinoza";01.01.1677;событие;event
Открытие острова Суматра;Discovery of Sumatra;01.01.1685;событие;event
Изобретение первого радиопередатчика;Invention of the First Radio Transmitter;01.01.1895;событие;event
Первая эксплуатация транспорта поезда;First Operation of a Freight Train;01.01.1825;событие;event
Запуск первой атомной электростанции в СССР;Launch of the First Nuclear Power Plant in the USSR;27.06.1954;событие;event
Изобретение первого фотоаппарата;Invention of the First Camera;01.01.1839;событие;event
Первая успешная трансплантация органов;First Successful Organ Transplant Surgery;01.01.1954;событие;event
Открытие химической структуры ДНК;Discovery of the Chemical Structure of DNA;28.02.1953;событие;event
Запуск первого спутника связи;Launch of the First Communications Satellite;04.10.1957;событие;event
Изобретение первой фотокамеры;Invention of the First Camera;19.08.1839;событие;event
Изобретение первого мотоцикла;Invention of the First Motorcycle;29.09.1885;событие;event
Изобретение первой спичечной коробки;Invention of the First Matchbox;07.02.1827;событие;event
Создание первой модели атомной электростанции;Creation of the First Nuclear Power Plant Model;01.01.1954;событие;event
Запуск первого искусственного спутника Земли;Launch of the First Artificial Earth Satellite;04.10.1957;событие;event
Изобретение первого паровоза;Invention of the First Locomotive;01.01.1804;событие;event
Запуск первого телескопа;Launch of the First Telescope;01.01.1609;событие;event
Первая успешная операция по пересадке органов;First Successful Organ Transplant;01.01.1954;событие;event
Изобретение первого фотоприемника;Invention of the First Photo Receiver;07.03.1873;событие;event
"Публикация ""Происхождение видов"" Дарвина";" Publication of ""On the Origin of Species"" by Darwin";01.01.1859;событие;event
Изобретение первого электромобиля;Invention of the First Electric Car;01.01.1828;событие;event
Открытие кислорода;Discovery of Oxygen;01.01.1774;событие;event
Изобретение первого парового двигателя;Invention of the First Steam Engine;01.01.1698;событие;event
Создание первой электромагнитной машины;Creation of the First Electromagnetic Machine;01.01.1820;событие;event
Запуск первого космического зонда;Launch of the First Space Probe;01.01.1958;событие;event
Создание первой модели самолета;Creation of the First Airplane Model;01.01.1903;событие;event
Изобретение первой модели трафаретного принтера;Invention of the First Stencil Printer Model;01.01.1876;событие;event
Запуск первой искусственной спутниковой системы связи;Launch of the First Artificial Satellite Communication System;01.01.1960;событие;event
Изобретение первой электрической лампы;Invention of the First Electric Lightbulb;01.01.1879;событие;event
"Публикация ""Второй книги природы"" Гассенди";" Publication of ""Second Book of Nature"" by Gassendi";01.01.1647;событие;event
Создание первого компьютера;Creation of the First Computer;01.01.1946;событие;event
Изобретение первой вычислительной машины;Invention of the First Computing Machine;01.01.1822;событие;event
Создание первого радиоаппарата;Creation of the First Radio Receiver;01.01.1895;событие;event
Изобретение первой модели электрического трамвая;Invention of the First Electric Tram Model;01.01.1881;событие;event
Открытие принципов термодинамики;Discovery of the Principles of Thermodynamics;01.01.1824;событие;event
Запуск первого спутника Земли;Launch of the First Earth Satellite;04.10.1957;событие;event
Создание первой вычислительной машины;Creation of the First Computing Machine;01.01.1822;событие;event
Запуск первой атомной электростанции в США;Launch of the First Nuclear Power Plant in the USA;01.01.1954;событие;event
Изобретение первой лампы накаливания;Invention of the First Incandescent Lamp;01.01.1879;событие;event
Открытие радиоактивных элементов;Discovery of Radioactive Elements;01.01.1896;событие;event
